name,kind,role,fields,historical,pit_capable,live_capable,auth_required,primary_for,notes
football-data.co.uk,csv,historical_match_results_stats_odds,"fixtures,result,score,basic_stats,odds",True,True,False,False,historical_baseline,Static season CSVs; archive evidence required for strict PIT.
API-Football,api,fixtures_events_lineups_stats_players_injuries_odds,"fixtures,events,lineups,statistics,players,injuries,odds,standings",True,False,True,True,"production,pre_match_context",Coverage is league-season-field specific and must be queried before acquisition.
Sofascore,public_api,events_lineups_stats_incidents_players_ratings,"fixtures,events,lineups,statistics,player_stats,ratings,incidents",True,False,True,False,"match_detail,player_context",Public endpoints may change; snapshot raw responses and timestamps.
FotMob,public_web_api,fixtures_xg_lineups_player_ratings_match_stats,"fixtures,xg,lineups,player_stats,ratings,match_stats",True,False,True,False,"xg,player_context",Treat endpoint/schema stability as a QC dimension; archive raw snapshots.
Understat,public_web,xg_xga_shots_player_xg,"xg,xga,shots,player_xg",True,False,False,False,xg_history,Historical xG source; acquisition and entity mapping must be audited.
FBref / Stats,public_web,team_player_advanced_stats,"team_stats,player_stats,shooting,passing,defense,possession,keeper",True,False,False,False,"advanced_team_stats,player_history",Use only fields whose publication timing can be established for PIT research.
StatsBomb Open Data,open_dataset,event_level_match_data,"events,shots,passes,pressures,lineups,player_events",True,False,False,False,event_features,Competition coverage is selective; never assume all leagues/seasons exist.
Transfermarkt,public_web,squad_transfers_injuries_market_context,"squads,transfers,injuries,market_values,managers",True,False,False,False,squad_context,Publication timestamps and historical snapshots must be verified before PIT use.
WorldFootball.net,public_web,fixtures_results_tables_historical_context,"fixtures,results,tables,competition_context",True,False,False,False,cross_check,Independent reconciliation source; not automatically treated as PIT evidence.
Internet Archive / Wayback,archive,historical_snapshot_evidence,archived_source,True,True,False,False,pit_evidence,"Capture timestamp is evidence of an archived observation, not automatically original publication time."
Arquivo.pt,archive,historical_snapshot_evidence_secondary,archived_source,True,True,False,False,pit_evidence_secondary,Secondary archive; exact replay identity and result matching are mandatory.
