competition,canonical_candidates,discovery_only,pit_status,notes
EPL,Football-Data.co.uk|football-data.org|Sportmonks|openfootball,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
CHA,Football-Data.co.uk|football-data.org|Sportmonks|openfootball,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
BL1,Football-Data.co.uk|football-data.org|Sportmonks|openfootball,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
SA,Football-Data.co.uk|football-data.org|Sportmonks|openfootball,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
LL,Football-Data.co.uk|football-data.org|Sportmonks|openfootball,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
FL1,Football-Data.co.uk|football-data.org|Sportmonks|openfootball,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
UCL,openfootball|football-data.org|Sportmonks,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
UEL,openfootball|football-data.org|Sportmonks,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
J1,J.League|Sportmonks|TheStatsAPI,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
J2,J.League|Sportmonks|TheStatsAPI,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
J3,J.League|Sportmonks|TheStatsAPI,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
DFBP,openfootball|Sportmonks,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
CAR,openfootball|Sportmonks,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
FRI,ESPN|Sportmonks,Tavily|Parallel Search|Firecrawl,PIT_UNPROVEN,Candidate sources only; actual fixture/field coverage and publication timing must be measured.
